"","??¥","????��","????","????"
"1",2016-03-15,55.0947573456983,54.7767101694544,55.4773782997141
"2",2016-03-16,55.041409986042,51.9300156518326,58.0847452864608
"3",2016-03-17,55.0221177838175,50.8541257023233,59.371852334069
"4",2016-03-18,54.9615065154719,49.9102455999057,60.1369252074523
"5",2016-03-19,54.9337234236372,48.6112399203689,61.1027869482768
"6",2016-03-20,54.7999548258855,48.8017680343231,60.5922296274331
"7",2016-03-21,54.7392959317605,48.7407714692507,60.775005319303
"8",2016-03-22,54.6960626106555,47.7077413892668,60.7395759640753
"9",2016-03-23,54.6244163824423,48.3281248511287,60.7668539258655
"10",2016-03-24,54.5834582968053,47.8035196077399,60.5545853928274
"11",2016-03-25,54.5072422515926,47.7518195524913,60.7171997869985
"12",2016-03-26,54.4856080572936,49.0847952195154,60.1669022342522
"13",2016-03-27,54.3193097221688,48.4400702796208,60.5604459651817
"14",2016-03-28,54.2272483387424,47.9828875615342,59.4435371136118
"15",2016-03-29,53.999557070056,48.7569283986408,59.6225349552781
"16",2016-03-30,53.8799404853649,48.7546718962261,60.4705327857617
"17",2016-03-31,53.6994553822402,48.2860061203451,59.1554632255745
"18",2016-04-01,53.5946638646886,48.3369684345396,59.1567574776955
"19",2016-04-02,53.447148503694,48.4283701548028,58.2951338722677
"20",2016-04-03,53.2069525138081,48.4349843156642,57.5469806078392
"21",2016-04-04,53.1335756935544,48.5241427357658,57.3765921150522
"22",2016-04-05,53.0561352626711,48.3691009863315,57.9797365119583
"23",2016-04-06,52.9519304134087,49.8691909034619,56.0057292446462
